,trade_day,date_section,vot
495,20230922,20230921_1,4875.044769979223
496,20230922,20230921_2,10929.286325820678
497,20230922,20230922_0,7337.119032998473
498,20230922,20230922_1,4911.009967276011
499,20230925,20230825_2,9073.37568215139
500,20230925,20230828_0,6616.043972461443
501,20230925,20230828_1,4496.455108892013
502,20230925,20230828_2,7994.64659527649
503,20230925,20230829_0,6683.415351967429
504,20230925,20230829_1,3889.7489360982318
505,20230925,20230829_2,9441.640841572285
506,20230925,20230830_0,6282.6231686561205
507,20230925,20230830_1,3825.9565564184604
508,20230925,20230830_2,10045.616128445108
509,20230925,20230831_0,6563.2592045579195
510,20230925,20230831_1,4256.3087594645895
511,20230925,20230831_2,10376.753705423784
512,20230925,20230901_0,6876.959939551025
513,20230925,20230901_1,4386.863570813261
514,20230925,20230901_2,12282.958162661285
515,20230925,20230904_0,7014.850812394561
516,20230925,20230904_1,4505.139982756301
517,20230925,20230904_2,10599.495629578427
518,20230925,20230905_0,6637.690070635768
519,20230925,20230905_1,4584.078560109062
520,20230925,20230905_2,11080.319866781396
521,20230925,20230906_0,6648.7120880702305
522,20230925,20230906_1,4566.024313637289
523,20230925,20230906_2,10824.948581079687
524,20230925,20230907_0,7118.968104646043
525,20230925,20230907_1,4635.214079298778
526,20230925,20230907_2,10267.74244387495
527,20230925,20230908_0,3879.3842569990466
528,20230925,20230908_1,4492.942053701386
529,20230925,20230908_2,10163.53738509983
530,20230925,20230911_0,6890.2441666096765
531,20230925,20230911_1,4617.773423222657
532,20230925,20230911_2,10044.720318799047
533,20230925,20230912_0,6763.740068741156
534,20230925,20230912_1,4870.275860878675
535,20230925,20230912_2,9759.616470590294
536,20230925,20230913_0,7015.431064524049
537,20230925,20230913_1,4625.486743118375
538,20230925,20230913_2,9992.923642685912
539,20230925,20230914_0,6810.40369882497
540,20230925,20230914_1,4634.678177289441
541,20230925,20230914_2,10045.546964196328
542,20230925,20230915_0,6774.328704016253
543,20230925,20230915_1,4565.210054328503
544,20230925,20230915_2,10071.36788353105
545,20230925,20230918_0,6998.581736113404
546,20230925,20230918_1,4499.143107569129
547,20230925,20230918_2,9558.522319836298
548,20230925,20230919_0,6931.457188189133
549,20230925,20230919_1,4634.709575145729
550,20230925,20230919_2,10256.819310567034
551,20230925,20230920_0,7145.165582406468
552,20230925,20230920_1,4568.923759455487
553,20230925,20230920_2,10626.346349819554
554,20230925,20230921_0,7177.488541026863
555,20230925,20230921_1,4757.162697020633
556,20230925,20230921_2,10665.008357343435
557,20230925,20230922_0,7159.702241571247
558,20230925,20230922_1,4792.258230096525
559,20230925,20230922_2,11034.798863385566
560,20230925,20230925_0,7003.134195330225
561,20230925,20230925_1,4654.282884167583
562,20230926,20230828_2,6945.193893695773
563,20230926,20230829_0,5806.095892672704
564,20230926,20230829_1,3379.131609540875
565,20230926,20230829_2,8202.219536882414
566,20230926,20230830_0,5457.9075314075635
567,20230926,20230830_1,3323.7269225806444
568,20230926,20230830_2,8726.936482502406
569,20230926,20230831_0,5701.704215605205
570,20230926,20230831_1,3697.589866164549
571,20230926,20230831_2,9014.58864090726
572,20230926,20230901_0,5974.234608318029
573,20230926,20230901_1,3811.0059130494383
574,20230926,20230901_2,10670.591472499122
575,20230926,20230904_0,6094.054193099192
576,20230926,20230904_1,3913.7701141674006
577,20230926,20230904_2,9208.09060227727
578,20230926,20230905_0,5766.3623950639485
579,20230926,20230905_1,3982.3473106993583
580,20230926,20230905_2,9625.84084574335
581,20230926,20230906_0,5775.95117727814
582,20230926,20230906_1,3966.631418316518
583,20230926,20230906_2,9404.026874755318
584,20230926,20230907_0,6184.512920362499
585,20230926,20230907_1,4026.7778271446873
586,20230926,20230907_2,8919.90881430536
587,20230926,20230908_0,3370.160249557072
588,20230926,20230908_1,3903.199619688699
589,20230926,20230908_2,8829.35998286633
590,20230926,20230911_0,5985.807443219755
591,20230926,20230911_1,4011.623913900051
592,20230926,20230911_2,8726.188601261983
593,20230926,20230912_0,5875.892090169234
594,20230926,20230912_1,4231.114739368125
595,20230926,20230912_2,8478.538033895002
596,20230926,20230913_0,6094.600587411023
597,20230926,20230913_1,4018.3117020652776
598,20230926,20230913_2,8681.260561507992
599,20230926,20230914_0,5916.4618374575775
600,20230926,20230914_1,4026.3059754154247
601,20230926,20230914_2,8726.890800140562
