seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
1598,00:18:00:000,[540],[4000],[590],[3000]
1599,00:18:00:500,[540],[4000],[590],[3000]
1600,00:18:01:000,[529],[4000],[590],[5000]
1601,00:18:01:500,[550],[2000],[590],[4000]
1602,00:18:02:000,[550],[1000],[600],[6000]
1603,00:18:02:500,[529],[4000],[590],[8000]
1604,00:18:03:000,[539],[1000],[590],[8000]
1605,00:18:03:500,[539],[2000],[590],[8000]
1606,00:18:04:000,[539],[2000],[590],[8000]
1607,00:18:04:500,[539],[2000],[590],[8000]
1608,00:18:05:000,[550],[2000],[590],[8000]
1609,00:18:05:500,[550],[1000],[590],[8000]
1610,00:18:06:000,[529],[4000],[590],[8000]
1611,00:18:06:500,[529],[4000],[590],[8000]
1612,00:18:07:000,[550],[1000],[590],[8000]
1613,00:18:08:500,[540],[4000],[590],[9000]
1614,00:18:10:000,[540],[1000],[590],[1000]
1615,00:18:11:000,[540],[1000],[590],[1000]
1616,00:18:11:500,[540],[1000],[590],[1000]
1617,00:18:14:000,[540],[4000],[590],[4000]
1618,00:18:14:500,[540],[4000],[590],[4000]
1619,00:18:15:000,[550],[2000],[590],[3000]
1620,00:18:15:500,[550],[2000],[590],[3000]
1621,00:18:16:000,[550],[1000],[590],[3000]
1622,00:18:16:500,[550],[1000],[590],[1000]
1623,00:18:17:000,[540],[1000],[590],[1000]
1624,00:18:17:500,[540],[1000],[590],[1000]
1625,00:18:20:500,[550],[1000],[589],[6000]
1626,00:18:21:000,[540],[1000],[589],[6000]
1627,00:18:21:500,[540],[1000],[600],[6000]
1628,00:18:22:000,[550],[1000],[600],[7000]
1629,00:18:23:000,[540],[1000],[600],[7000]
1630,00:18:23:500,[540],[4000],[600],[7000]
1631,00:18:24:000,[540],[1000],[600],[4000]
1632,00:18:24:500,[540],[1000],[600],[6000]
1633,00:18:25:500,[540],[4000],[589],[5000]
1634,00:18:26:000,[550],[1000],[600],[3000]
1635,00:18:26:500,[540],[4000],[600],[6000]
1636,00:18:27:000,[540],[1000],[600],[3000]
1637,00:18:27:500,[540],[1000],[600],[3000]
1638,00:18:28:000,[540],[1000],[600],[3000]
1639,00:18:28:500,[540],[4000],[589],[6000]
1640,00:18:29:000,[550],[1000],[600],[3000]
1641,00:18:29:500,[540],[1000],[589],[3000]
1642,00:18:30:000,[540],[1000],[589],[3000]
1643,00:18:30:500,[540],[1000],[589],[1000]
1644,00:18:32:000,[540],[4000],[589],[6000]
1645,00:18:32:500,[550],[1000],[600],[6000]
1646,00:18:33:000,[550],[1000],[600],[5000]
1647,00:18:33:500,[540],[1000],[600],[5000]
1648,00:18:34:500,[550],[1000],[610],[6000]
1649,00:18:35:000,[550],[4000],[600],[6000]
1650,00:18:35:500,[550],[4000],[600],[6000]
1651,00:18:36:000,[550],[1000],[600],[3000]
1652,00:18:36:500,[550],[4000],[600],[3000]
1653,00:18:37:500,[550],[3000],[600],[3000]
1654,00:18:39:000,[550],[1000],[589],[47000]
1655,00:18:46:000,[550],[1000],[589],[47000]
1656,00:18:47:000,[540],[1000],[589],[50000]
1657,00:18:47:500,[540],[2000],[579],[1000]
1658,00:18:48:000,[550],[1000],[579],[4000]
1659,00:18:48:500,[539],[4000],[590],[6000]
1660,00:18:49:000,[529],[1000],[590],[6000]
1661,00:18:49:500,[540],[1000],[590],[5000]
1662,00:18:50:000,[540],[1000],[589],[4000]
1663,00:18:50:500,[540],[4000],[589],[2000]
1664,00:18:51:000,[550],[1000],[589],[2000]
